statement_id,transaction_id,session_id,account,user,host,database,statement,statement_tag,statement_fingerprint,node_uuid,node_type,request_at,response_at,duration,status,err_code,error,exec_plan,rows_read,bytes_scan,stats,statement_type,query_type,role_id,sql_source_type,aggr_count,result_count
f6c61008-5d50-11ee-8c9e-46847fd5eb9e,,e1bb4d54-5d50-11ee-8c9c-46847fd5eb9e,test,admin,0.0.0.0:0,,"/* 20 queries */ 
",,,7c4dccb4-4d3c-41f8-b482-5251dc7a41bf,ALL,2023-09-28 00:14:40.000000,2023-09-28 00:14:45.000000,2048043,Success,0,,"{""code"":200,""message"":""NO ExecPlan Serialize function"",""steps"":null,""success"":false,""uuid"":""f6c61008-5d50-11ee-8c9e-46847fd5eb9e""}",0,0,"[3,104165,13.655,0,0,0,1]",Select,DQL,2,internal_sql,20,0
f6c4877e-5d50-11ee-8c9e-46847fd5eb9e,,e1bb4d54-5d50-11ee-8c9c-46847fd5eb9e,test,admin,127.0.0.1:51274,,"/* 35 queries */ 
SELECT @@session.transaction_isolation",,,7c4dccb4-4d3c-41f8-b482-5251dc7a41bf,ALL,2023-09-28 00:14:40.000000,2023-09-28 00:14:45.000000,11184002,Success,0,,"{""code"":200,""message"":""NO ExecPlan Serialize function"",""steps"":null,""success"":false,""uuid"":""f6c4877e-5d50-11ee-8c9e-46847fd5eb9e""}",0,0,"[3,157632,42949.881,0,0,438004,1]",Select,DQL,2,external_sql,35,1036
f8e9249c-5d50-11ee-8c9f-46847fd5eb9e,51f21183-7c24-4024-9cd7-fa9fa367f0d5,e1bb4d54-5d50-11ee-8c9c-46847fd5eb9e,test,admin,127.0.0.1:51274,test,SHOW WARNINGS,,,7c4dccb4-4d3c-41f8-b482-5251dc7a41bf,ALL,2023-09-28 00:14:44.985959,2023-09-28 00:14:44.986017,58041,Success,0,,"{""code"":200,""message"":""NO ExecPlan Serialize function"",""steps"":null,""success"":false,""uuid"":""f8e9249c-5d50-11ee-8c9f-46847fd5eb9e""}",0,0,"[3,0,0,0,0,148,0]",Show Warnings,Other,2,external_sql,0,0
f8e4b5b0-5d50-11ee-8c9f-46847fd5eb9e,a4a2a4b5-562e-498f-82eb-4ffab559658d,e1bb4d54-5d50-11ee-8c9c-46847fd5eb9e,test,admin,127.0.0.1:51274,test,/* ApplicationName=GoLand 2023.1 */ SET SQL_SELECT_LIMIT=501,,,7c4dccb4-4d3c-41f8-b482-5251dc7a41bf,ALL,2023-09-28 00:14:44.956915,2023-09-28 00:14:44.957000,85500,Success,0,,"{""code"":200,""message"":""NO ExecPlan Serialize function"",""steps"":null,""success"":false,""uuid"":""f8e4b5b0-5d50-11ee-8c9f-46847fd5eb9e""}",0,0,"[3,0,0,0,0,12,0]",Set Var,Other,2,external_sql,0,0
f8e4a8d6-5d50-11ee-8c9f-46847fd5eb9e,f3aaa3df-1514-4312-9b3c-373b78992b63,e1bb4d54-5d50-11ee-8c9c-46847fd5eb9e,test,admin,127.0.0.1:51274,test,/* ApplicationName=GoLand 2023.1 */ SET net_write_timeout=600,,,7c4dccb4-4d3c-41f8-b482-5251dc7a41bf,ALL,2023-09-28 00:14:44.956582,2023-09-28 00:14:44.956736,153834,Success,0,,"{""code"":200,""message"":""NO ExecPlan Serialize function"",""steps"":null,""success"":false,""uuid"":""f8e4a8d6-5d50-11ee-8c9f-46847fd5eb9e""}",0,0,"[3,0,0,0,0,12,1]",Set Var,Other,2,external_sql,0,0
f8e486b2-5d50-11ee-8c9f-46847fd5eb9e,1abdc352-704d-487c-9c5a-519d57fce193,e1bb4d54-5d50-11ee-8c9c-46847fd5eb9e,test,admin,127.0.0.1:51274,test,SHOW WARNINGS,,,7c4dccb4-4d3c-41f8-b482-5251dc7a41bf,ALL,2023-09-28 00:14:44.955705,2023-09-28 00:14:44.955745,39750,Success,0,,"{""code"":200,""message"":""NO ExecPlan Serialize function"",""steps"":null,""success"":false,""uuid"":""f8e486b2-5d50-11ee-8c9f-46847fd5eb9e""}",0,0,"[3,0,0,0,0,148,0]",Show Warnings,Other,2,external_sql,0,0
f8e45412-5d50-11ee-8c9f-46847fd5eb9e,5106f850-c9cd-4966-b3f9-3c039ae84807,e1bb4d54-5d50-11ee-8c9c-46847fd5eb9e,test,admin,127.0.0.1:51274,test,SHOW WARNINGS,,,7c4dccb4-4d3c-41f8-b482-5251dc7a41bf,ALL,2023-09-28 00:14:44.954414,2023-09-28 00:14:44.954457,42292,Success,0,,"{""code"":200,""message"":""NO ExecPlan Serialize function"",""steps"":null,""success"":false,""uuid"":""f8e45412-5d50-11ee-8c9f-46847fd5eb9e""}",0,0,"[3,0,0,0,0,148,1]",Show Warnings,Other,2,external_sql,0,0
f8e3ee46-5d50-11ee-8c9f-46847fd5eb9e,59e0c950-be57-4433-ad40-8a05b60f2ff4,e1bb4d54-5d50-11ee-8c9c-46847fd5eb9e,test,admin,127.0.0.1:51274,test,/* ApplicationName=GoLand 2023.1 */ SET SQL_SELECT_LIMIT=DEFAULT,,,7c4dccb4-4d3c-41f8-b482-5251dc7a41bf,ALL,2023-09-28 00:14:44.951804,2023-09-28 00:14:44.951939,135958,Success,0,,"{""code"":200,""message"":""NO ExecPlan Serialize function"",""steps"":null,""success"":false,""uuid"":""f8e3ee46-5d50-11ee-8c9f-46847fd5eb9e""}",0,0,"[3,0,0,0,0,12,1]",Set Var,Other,2,external_sql,0,0
f8e3d0b4-5d50-11ee-8c9f-46847fd5eb9e,f767adcb-48f5-4e8e-8611-993a2946b3b6,e1bb4d54-5d50-11ee-8c9c-46847fd5eb9e,test,admin,127.0.0.1:51274,test,SHOW WARNINGS,,,7c4dccb4-4d3c-41f8-b482-5251dc7a41bf,ALL,2023-09-28 00:14:44.951054,2023-09-28 00:14:44.951080,26667,Success,0,,"{""code"":200,""message"":""NO ExecPlan Serialize function"",""steps"":null,""success"":false,""uuid"":""f8e3d0b4-5d50-11ee-8c9f-46847fd5eb9e""}",0,0,"[3,0,0,0,0,148,0]",Show Warnings,Other,2,external_sql,0,0
f8e38c6c-5d50-11ee-8c9f-46847fd5eb9e,8edf404f-7e5f-4675-8614-543009c6b905,e1bb4d54-5d50-11ee-8c9c-46847fd5eb9e,test,admin,127.0.0.1:51274,test,/* ApplicationName=GoLand 2023.1 */ set session transaction read write,,,7c4dccb4-4d3c-41f8-b482-5251dc7a41bf,ALL,2023-09-28 00:14:44.949301,2023-09-28 00:14:44.949325,23500,Success,0,,"{""code"":200,""message"":""NO ExecPlan Serialize function"",""steps"":null,""success"":false,""uuid"":""f8e38c6c-5d50-11ee-8c9f-46847fd5eb9e""}",0,0,"[3,0,0,0,0,12,1]",Set Transaction,TCL,2,external_sql,0,0
