cu,stats,duration
0.003,"[3,0,0,0,0,148,0]",30416
0.003,"[3,0,0,0,0,148,0]",55541
0.003,"[3,0,0,0,0,148,0]",69083
0.003,"[3,0,0,0,0,148,0]",77459
0.003,"[3,0,0,0,0,148,0]",58834
0.003,"[3,0,0,0,0,148,0]",40125
0.003,"[3,0,0,0,0,111,0]",24667
0.003,"[3,0,0,0,0,148,0]",58042
0.003,"[3,0,0,0,0,148,0]",31250
0.003,"[3,0,0,0,0,148,0]",45125
0.003,"[3,0,0,0,0,148,0]",39834
0.003,"[3,0,0,0,0,148,0]",60667
0.003,"[3,0,0,0,0,148,0]",50833
0.003,"[3,0,0,0,0,148,0]",51375
0.003,"[3,0,0,0,0,148,0]",52042
0.003,"[3,0,0,0,0,111,0]",34167
0.003,"[3,0,0,0,0,148,0]",58500
0.003,"[3,0,0,0,0,148,0]",34209
0.003,"[3,0,0,0,0,148,0]",45000
0.003,"[3,0,0,0,0,148,0]",36458
0.003,"[3,0,0,0,0,148,0]",49708
0.003,"[3,0,0,0,0,148,0]",35167
0.003,"[3,0,0,0,0,148,0]",27042
0.003,"[3,0,0,0,0,148,0]",30959
0.003,"[3,0,0,0,0,111,0]",27125
0.003,"[3,0,0,0,0,148,0]",52917
0.003,"[3,0,0,0,0,111,0]",30292
0.003,"[3,0,0,0,0,148,0]",51917
0.003,"[3,0,0,0,0,148,0]",36791
0.003,"[3,0,0,0,0,148,0]",71792
0.003,"[3,0,0,0,0,111,0]",40292
0.003,"[3,0,0,0,0,148,0]",43625
0.003,"[3,0,0,0,0,148,0]",58250
0.003,"[3,0,0,0,0,148,0]",45209
0.003,"[3,0,0,0,0,111,0]",25125
0.003,"[3,0,0,0,0,148,0]",69917
0.003,"[3,0,0,0,0,148,0]",72125
0.003,"[3,0,0,0,0,111,0]",26167
0.003,"[3,0,0,0,0,111,0]",42541
0.003,"[3,0,0,0,0,111,0]",23459
0.003,"[3,0,0,0,0,148,0]",34167
0.003,"[3,0,0,0,0,111,0]",23250
0.003,"[3,0,0,0,0,111,0]",51959
0.003,"[3,0,0,0,0,111,0]",40167
0.003,"[3,0,0,0,0,148,0]",40666
0.003,"[3,0,0,0,0,148,0]",39792
0.002,"[3,0,0,0,0,87,0]",100292
0.002,"[3,0,0,0,0,87,0]",102083
0.002,"[3,0,0,0,0,87,0]",76917
0.002,"[3,560787,3042.000,0,0,108,1]",3925250
0.002,"[3,0,0,0,0,87,0]",196084
0.002,"[3,0,0,0,0,87,0]",110125
0.002,"[3,0,0,0,0,90,0]",1592583
0.001,"[3,514377,3042.000,0,0,96,1]",4313877
0.001,"[3,302215,3042.000,0,0,60,1]",2129958
0.001,"[3,323252,124.279,0,0,2610,1]",1905124
0.001,"[3,211206,26.015,0,0,4000,1]",6933585
0.001,"[3,203108,26.726,0,0,4311,1]",7296920
0.000,"[3,0,0,0,0,12,0]",164625
0.000,"[3,0,0,0,0,148,1]",65625
0.000,"[3,0,0,0,0,12,0]",28208
0.000,"[3,0,0,0,0,12,0]",77084
0.000,"[3,0,0,0,0,12,0]",22291
0.000,"[3,0,0,0,0,148,1]",36916
0.000,"[3,0,0,0,0,12,0]",17625
0.000,"[3,0,0,0,0,12,0]",107167
0.000,"[3,0,0,0,0,148,1]",31959
0.000,"[3,0,0,0,0,148,1]",53625
0.000,"[3,123037,25.266,0,0,2689,1]",4338836
0.000,"[3,0,0,0,0,12,0]",100833
0.000,"[3,0,0,0,0,12,1]",31833
0.000,"[3,0,0,0,0,148,1]",60583
0.000,"[3,0,0,0,0,12,0]",19291
0.000,"[3,0,0,0,0,12,0]",80833
0.000,"[3,0,0,0,0,148,1]",48500
0.000,"[3,0,0,0,0,12,0]",91875
0.000,"[3,0,0,0,0,148,1]",40709
0.000,"[3,0,0,0,0,12,1]",153834
0.000,"[3,0,0,0,0,12,1]",135958
0.000,"[3,0,0,0,0,12,0]",179625
0.000,"[3,0,0,0,0,12,0]",173166
0.000,"[3,0,0,0,0,12,0]",152083
0.000,"[3,0,0,0,0,12,0]",27625
0.000,"[3,0,0,0,0,12,0]",19250
0.000,"[3,0,0,0,0,148,1]",33125
0.000,"[3,0,0,0,0,12,1]",24209
0.000,"[3,0,0,0,0,12,0]",107375
0.000,"[3,0,0,0,0,12,0]",28125
0.000,"[3,0,0,0,0,148,1]",47667
0.000,"[3,0,0,0,0,148,1]",48125
0.000,"[3,0,0,0,0,12,1]",204083
0.000,"[3,0,0,0,0,148,1]",38542
0.000,"[3,0,0,0,0,12,1]",19750
0.000,"[3,0,0,0,0,148,1]",40625
0.000,"[3,0,0,0,0,148,1]",50292
0.000,"[3,0,0,0,0,148,1]",53458
0.000,"[3,0,0,0,0,12,1]",23500
0.000,"[3,0,0,0,0,12,0]",24667
0.000,"[3,143247,26967.834,0,0,252936,1]",8318044
0.000,"[3,6541,13.592,0,0,0,1]",282790
0.000,"[3,0,0,0,0,12,0]",23334
0.000,"[3,0,0,0,0,12,1]",138375
0.000,"[3,0,0,0,0,12,0]",201792
0.000,"[3,0,0,0,0,12,0]",27208
0.000,"[3,0,0,0,0,12,0]",82875
0.000,"[3,0,0,0,0,12,0]",269708
0.000,"[3,23292,13.841,0,0,0,1]",1101376
0.000,"[3,0,0,0,0,12,0]",110083
0.000,"[3,0,0,0,0,12,1]",17708
0.000,"[3,84201,31328.640,0,0,168624,1]",7168875
0.000,"[3,0,0,0,0,12,0]",142167
0.000,"[3,0,0,0,0,12,0]",161083
0.000,"[3,0,0,0,0,12,0]",224500
0.000,"[3,0,0,0,0,12,0]",127083
0.000,"[3,0,0,0,0,148,1]",33458
0.000,"[3,0,0,0,0,12,0]",106791
0.000,"[3,0,0,0,0,12,0]",84792
0.000,"[3,0,0,0,0,148,1]",61375
0.000,"[3,0,0,0,0,12,0]",24167
0.000,"[3,0,0,0,0,148,1]",37792
0.000,"[3,0,0,0,0,12,0]",260042
0.000,"[3,54994,128.853,0,0,2610,1]",1366208
0.000,"[3,0,0,0,0,12,0]",161792
0.000,"[3,0,0,0,0,148,1]",42083
0.000,"[3,0,0,0,0,12,0]",73292
0.000,"[3,0,0,0,0,12,0]",89833
0.000,"[3,0,0,0,0,12,1]",23291
0.000,"[3,0,0,0,0,148,1]",39958
0.000,"[3,0,0,0,0,12,1]",88167
0.000,"[3,0,0,0,0,12,0]",84917
0.000,"[3,0,0,0,0,12,1]",160792
0.000,"[3,0,0,0,0,12,0]",62542
0.000,"[3,0,0,0,0,12,0]",217167
0.000,"[3,0,0,0,0,12,0]",118291
